Table|PII Column|Notes
V6M_PIF_EXTRACT.dbo.V6M_02_PINFO53K|PIF_ADDRESS_LINE_1|
V6M_PIF_EXTRACT.dbo.V6M_02_PINFO53K|PIF_ADDRESS_LINE_2|
V6M_PIF_EXTRACT.dbo.V6M_03_COMMNT5K|COMMENT_DRIVER_LICENSE|
V6M_PIF_EXTRACT.dbo.V6M_12_DESC53K|DESCRIPTION_BROKER_TAX_ID|
V6M_PIF_EXTRACT.dbo.V6M_12_DESC53K|DESC_BROKER_TAX_ID_SABIR|
V6M_PIF_EXTRACT.dbo.V6M_12_DESC53K|DESC_SS_NUM|
V6M_PIF_EXTRACT.dbo.V6M_12_DESC53K|DESC_BANK_ACCOUNT_NO|
V6M_PIF_EXTRACT.dbo.V6M_25_DRIVER5K|DRIVER_LICENSE_NUMBER|
V6M_PIF_EXTRACT.dbo.V6M_25_DRIVER5K|DRIVER_SSN|
V6M_PIF_EXTRACT.dbo.V6M_25_DRIVER5K|DRIVER_NAME|